FID,OBJECTID,SHAPE,LBEZEICHNUNG,LTYP,LTYPTXT,SE_ANNO_CAD_DATA
OEFFLINIENOGD.272264,272264,"LINESTRING (16.34854563934611 48.181146117222454, 16.348418293765704 48.18129042060227, 16.34806876094562 48.18171844675946, 16.346243275573887 48.18383734390527, 16.34611272091101 48.183971174994454, 16.345944504544242 48.18412854540787, 16.345842047832814 48.18423134794186, 16.345322664008755 48.18483482380091, 16.345261479287284 48.1849242971898, 16.345193178481384 48.18502709551448, 16.3451206085488 48.18512799115757, 16.34501530580106 48.185249828284995, 16.344357866625668 48.18601035587609, 16.343545288153454 48.18694982578145, 16.34332186044497 48.187217292125005, 16.34325497738188 48.18731342696667, 16.343121207168416 48.1875009372995, 16.34301020527776 48.187648471104474, 16.34284938921954 48.187831223495984, 16.342721305670207 48.187980661881674, 16.342648723217838 48.1880539538253, 16.34257186853599 48.188112016789454, 16.342510666577425 48.188143429132204, 16.34244519506899 48.18816913096209, 16.342308554974018 48.18821101725793, 16.34147732842129 48.18844424671824, 16.341340685938253 48.18847756579028, 16.341206891083967 48.18850326998849, 16.34105886009526 48.18851565024133, 16.340882359702064 48.1885147052842, 16.340613339202534 48.18850043929901, 16.33957141719873 48.1884443195316, 16.3394262324025 48.18844432378302, 16.339313786804137 48.188460507606955, 16.339205610389 48.188484304893066, 16.339110245988586 48.188513813359776, 16.339033385332876 48.18854903109679, 16.338955100970477 48.18859662263086, 16.338882511259744 48.18865087617529, 16.338818462517043 48.188720358644645, 16.33876295442776 48.18879935754003, 16.338623473410813 48.189040163016706, 16.338459795795565 48.18934759439715, 16.338351625202325 48.189527484008266, 16.338220678812718 48.18971974773931, 16.338078345656804 48.18993009513256, 16.337937432802867 48.190135683092535, 16.337887616445393 48.19021468235555, 16.33786057231057 48.19027178989128, 16.337843493990743 48.190357451733945, 16.337840651072767 48.1904897496475, 16.337850640688217 48.19122738462876, 16.337864878343396 48.19133208109355, 16.337886233366344 48.19142345215318, 16.337926094843855 48.19152719672751, 16.337975919754395 48.191652831586886, 16.33806275784992 48.19180130954986, 16.33826917638761 48.1921705991334, 16.33846136401416 48.192523707965975, 16.338555321888364 48.19267884758521, 16.338657821013943 48.19282732384154, 16.33873042605033 48.19295486171235, 16.339148982472906 48.19371342527021, 16.339553311841563 48.19442630285985, 16.33960171928349 48.1945348048681, 16.339630195960098 48.194611898566905, 16.339641590147522 48.19468994516456, 16.33964301760898 48.19475371439531, 16.339635904835976 48.19483366452507, 16.339600322132416 48.194919326223626, 16.3395561974306 48.194997374487045, 16.339467943684937 48.195113495106625, 16.33939107799186 48.195221049272455, 16.33934979907607 48.19530100034147, 16.339318487647308 48.19540855317121, 16.339271523452553 48.19563317591807, 16.339220286431548 48.19583019670152, 16.339183278765496 48.19593108744571, 16.33910072198744 48.19614238575941, 16.33902385864672 48.19633274580481, 16.338996459383104 48.19642471224741, 16.33898649789958 48.19648372342776, 16.338983656213355 48.19659127543372, 16.338972271365808 48.1966474312933, 16.338837046185496 48.19698912543222, 16.338765874496154 48.19717662889081, 16.338694698680094 48.19729179699572, 16.338649146694262 48.19738316929042, 16.338612138271653 48.19748691517614)","18, 6",1,Straßenbahn,
OEFFLINIENOGD.272265,272265,"LINESTRING (16.358853578716474 48.18067573313666, 16.35808094766817 48.18041690514131, 16.357202747434425 48.18017173322162, 16.356546610274435 48.18003776204258, 16.35593420029303 48.1799580989085, 16.355234532898077 48.17991037313183, 16.354677824912983 48.17990785624276, 16.353708572035842 48.17993435878374, 16.35293417477899 48.1799882542945, 16.35139761722516 48.18011284544394, 16.350703768854316 48.18018748964355, 16.35022668381286 48.18025382948028, 16.349749605232645 48.1803492155773, 16.349419932150862 48.180489053538395, 16.34886450955656 48.18087389405956, 16.348578409595373 48.18111440523443, 16.34854563934611 48.181146117222454)","18, 6, 62",1,Straßenbahn,
OEFFLINIENOGD.272266,272266,"LINESTRING (16.41539554228567 48.175090839566735, 16.414829861532002 48.17565163408589, 16.41436092220566 48.17608597034033, 16.414149892959266 48.17627885124198, 16.413857873574994 48.17655459207562, 16.41322054675218 48.17716321448413, 16.412707091995312 48.177655862688475, 16.412341845128253 48.17798352152846, 16.411356880589658 48.17883031084017, 16.41054244511403 48.17952850251569, 16.410404579111216 48.17965232371678, 16.41030084716404 48.17976089533532, 16.410187156001488 48.179872327736646, 16.409614330817476 48.18036381840387, 16.408774261181446 48.18108485663127, 16.407989960260146 48.18176342806658, 16.40696593015257 48.18264063678812, 16.406362711801556 48.18316765220891, 16.406029061329694 48.183458157977945, 16.405637012508873 48.183726394804445, 16.405048790795885 48.18422434593642, 16.404630644242552 48.184587531360854, 16.404296563941568 48.18488159451286, 16.404070884410757 48.185082793949036, 16.40396432497557 48.18522562482344, 16.403825760080043 48.18538156143287, 16.403680036976446 48.18550775958079, 16.40310602705596 48.18600540447763, 16.402382731630457 48.18663876256076, 16.40206280143275 48.18688760097154, 16.401899304086047 48.18703403194871, 16.401623832128394 48.1872697566954, 16.40127904287545 48.187565006844885, 16.400735201000337 48.18803644866004, 16.400257107917525 48.18844955425357, 16.399789671598338 48.18885432417761, 16.399332889476838 48.189247188245076, 16.399215572055905 48.18934005223032, 16.399073351650884 48.18943887786686, 16.398867112004282 48.189565102939376, 16.39820445111446 48.189961694421136, 16.39638668121873 48.191095380921595, 16.394952228899832 48.19190551599743, 16.39424419243829 48.19224510130836, 16.39421932106187 48.19225536617758, 16.393168263193072 48.19269107556934, 16.392008818071368 48.19316495940333, 16.391291066032323 48.19338447137083, 16.39063623533543 48.19358380416948, 16.38857125575203 48.19406977022301, 16.387319143070474 48.194356229713215, 16.38679907271195 48.19442975501923, 16.386462355675302 48.194523432640054, 16.385808435058152 48.19474266562235, 16.385157368078215 48.1949642354994, 16.384831696186318 48.19508661904215, 16.384175313286114 48.19534030765142, 16.38356873834895 48.19558326550804, 16.382677572908296 48.19597267282209, 16.381692157242785 48.19644777028971, 16.38087570497705 48.19683951355323, 16.38054662258047 48.19698835783826, 16.380073427539216 48.197172947811865, 16.37864490036034 48.19770172610555, 16.37769846525118 48.198054233838874, 16.377566831482596 48.198120905947185, 16.377458332751235 48.19818875939496, 16.377324952985745 48.198298263036534, 16.376986220881847 48.198574147983415, 16.376651406934254 48.19884900980571, 16.376461100680014 48.19898827580672, 16.37631881074018 48.199088262951534, 16.376197841503068 48.19914303260202, 16.376043051481634 48.199188296331094, 16.375825979026487 48.199238340592125, 16.37565697125462 48.19930859281224, 16.37551289641031 48.199405010152994)",71,1,Straßenbahn,
OEFFLINIENOGD.272267,272267,"LINESTRING (16.373749975504015 48.185916540511435, 16.37122809492504 48.185130428203934, 16.36844599834758 48.18423191818657, 16.364246462368573 48.18275271173703)",18,1,Straßenbahn,
OEFFLINIENOGD.272268,272268,"LINESTRING (16.381265114210112 48.18815682056181, 16.38131334942446 48.18792237002361, 16.381419101431337 48.1876645818052, 16.381541896127263 48.187365507716734, 16.38161302810251 48.18719865475433, 16.38177917969523 48.18696017775563, 16.382340305444195 48.186428680702576, 16.382391979470228 48.186347919381895, 16.382391903352865 48.18626333335706, 16.382363098384523 48.18619990472763, 16.38231705633392 48.186149941422364, 16.382239384330227 48.18609229975695, 16.38110423996873 48.18544456864241, 16.380972062711116 48.18536104504741, 16.380867481132686 48.18528880609366, 16.38079445310831 48.18519246635261, 16.380760571007038 48.18510086970536, 16.380587506564375 48.18453343257556, 16.380337821374834 48.18382206683454, 16.3803359644548 48.18373164842848, 16.380362289542003 48.183630703364045, 16.380426524735604 48.183531737496565, 16.380502666968077 48.183439547913586)",D,1,Straßenbahn,
OEFFLINIENOGD.272269,272269,"LINESTRING (16.37551289641031 48.199405010152994, 16.375525256395846 48.19927889469749, 16.375491374380278 48.199187296722606, 16.375400523675157 48.19906835449493, 16.375309676112312 48.19895298160674, 16.37525622027184 48.19886258003102, 16.37521339891286 48.1987162575776, 16.37510813168648 48.19835937339105, 16.375074210447824 48.198214237660316, 16.375047402231864 48.19806315048276, 16.375052668249932 48.19796678077963, 16.375059536143873 48.1979074284914, 16.375272454692077 48.19752469398394, 16.375616390216532 48.19696969363347, 16.3771218332404 48.19454827655491, 16.378511171751168 48.19291603881516, 16.37918851650516 48.19192994762196, 16.37958211470649 48.19118893590858, 16.380029586808032 48.19039124472953, 16.38084543830487 48.18898627471248, 16.381230988517153 48.188322691994784, 16.381265114210112 48.18815682056181)",D,1,Straßenbahn,
OEFFLINIENOGD.272270,272270,"LINESTRING (16.384781000379228 48.188281213755445, 16.384303451053665 48.18830154894388, 16.383963973905708 48.188300263463184, 16.38285764119725 48.188289092878, 16.38248761328822 48.18828374780319, 16.382022168178562 48.18828393454234, 16.38182715683456 48.18827449466382, 16.381691923090322 48.18826027155096, 16.38153531946868 48.18822416534815, 16.381338852032354 48.18817665318518, 16.381236337477716 48.18814052529203, 16.381123847747507 48.18809202829593, 16.380981456373185 48.18802926607151, 16.380821973671882 48.187955088885495, 16.380686705571826 48.18789993811167, 16.380236824207003 48.18778684877405, 16.379633196318505 48.18764335850656, 16.37938120754316 48.18757873184323, 16.37918046518329 48.187521700035376, 16.3788174141815 48.18740666871679, 16.378293485651852 48.187244106665936, 16.377822235799748 48.18709484753511, 16.377557435784947 48.18702260782512, 16.377278401469162 48.18694942021441, 16.377039234386544 48.186891446921756, 16.37680291211094 48.186831568252785, 16.376624961758854 48.1867897521862)","18, O",1,Straßenbahn,
OEFFLINIENOGD.272271,272271,"LINESTRING (16.299323694733012 48.18635967507827, 16.298567548920506 48.18651568827691, 16.296151080590462 48.186855447787266, 16.295822765172538 48.18689247527246, 16.294726389243078 48.18692356199425, 16.29353330157653 48.186970340657005, 16.291781263937555 48.187030922128656, 16.290520796112197 48.18707314688424, 16.289174118211452 48.18711586223184, 16.28780954670557 48.18716314084292, 16.286333743034266 48.187217549728615, 16.284780734151365 48.18727703136145, 16.28279169215457 48.187349780402585, 16.282320586930805 48.18733786961604, 16.282148848047427 48.18733356226835, 16.282065338097677 48.18732578882468, 16.282003893468662 48.187309482121144, 16.281947037449914 48.187278068881795, 16.281897052702387 48.18723505755899, 16.281872757867724 48.18718981002905, 16.28186339593146 48.187140252782186, 16.28177732356407 48.18599484559989)",10,1,Straßenbahn,
OEFFLINIENOGD.272272,272272,"LINESTRING (16.41539554228567 48.175090839566735, 16.415320892126825 48.1751280107478, 16.415246214159687 48.175148049715105, 16.4151715141919 48.17515381182881, 16.41510320089136 48.17514814805053, 16.41502845625553 48.1751239283299, 16.41485330663886 48.17504695357619, 16.41432655188144 48.17480224640532, 16.4139147355252 48.1746127380503)",11,1,Straßenbahn,
OEFFLINIENOGD.272273,272273,"LINESTRING (16.406574935797178 48.19456376983028, 16.406392514618464 48.19445908501327, 16.406132472578093 48.194279593740895, 16.405453871768806 48.19380768072958, 16.404784195008798 48.19334527589598, 16.404574022618984 48.193193115915975, 16.404292594989474 48.19297913059136, 16.403100988285697 48.19206016728693, 16.402787507135564 48.191817643347996, 16.402149875383472 48.191330220289395, 16.40123084919649 48.19062523220885, 16.40091205341229 48.19038746533308, 16.400767789003105 48.19027452208636, 16.400682277113543 48.190190099246635, 16.400602094879766 48.19009972431929, 16.400512987515533 48.18998555909581, 16.40038824198003 48.189828584276164, 16.399846478697768 48.18913289101846, 16.39962364888374 48.188790371454, 16.399477467293924 48.18855964300614, 16.39940972311681 48.188451415058836, 16.39933130749731 48.18834557165172, 16.399197667077672 48.18818384115664, 16.399076490147507 48.18802924162235, 16.39899811805525 48.187957900568406, 16.39886809930584 48.18784613690692, 16.398440685291202 48.18751324309749, 16.397755041643627 48.18696871415674, 16.39682900157189 48.18623395072943, 16.396426947662828 48.18591626962413, 16.39630731724334 48.18585446590434, 16.396189151111393 48.18582787798358, 16.396075282765842 48.18582508205566, 16.395984202645682 48.185834647073655, 16.39589029289242 48.185860394155526, 16.395789291938005 48.18590613235071, 16.39562007738939 48.18604422963371, 16.39544232642229 48.18618613791351, 16.395199164242456 48.186383282836964, 16.394994377995904 48.18653377037802, 16.394571948346908 48.18679763123481, 16.39427749584617 48.1869548261362, 16.393944635910227 48.18713393007821, 16.39373268102164 48.18724444394597, 16.393473770614502 48.18736925674141, 16.393345726048032 48.1874216693644, 16.393081752709993 48.187520781975586, 16.392750936226474 48.1876244523238, 16.392430774733352 48.1877102702904, 16.39210170523662 48.18778657414237, 16.39180107665549 48.18784025784368, 16.39155558436075 48.18787606887947, 16.391353367174368 48.18789954954751, 16.389664704607068 48.188037405456384, 16.388617603955787 48.1880870813699, 16.386533088175838 48.18819476406098, 16.385117222560357 48.18826399459556, 16.384781000379228 48.188281213755445)",18,1,Straßenbahn,
